Designator,Mid X,Mid Y,Layer,Rotation
C1,109.500000,-38.100000,Top,0.000000
C2,112.800000,-38.100000,Top,0.000000
C3,116.100000,-38.100000,Top,0.000000
C4,119.400000,-38.100000,Top,0.000000
C5,122.700000,-38.100000,Top,0.000000
C6,132.500000,-31.000000,Top,0.000000
C7,98.500000,-37.000000,Top,0.000000
C8,102.500000,-40.000000,Top,0.000000
FL1,129.500000,-38.000000,Top,0.000000
FL2,126.200000,-38.000000,Top,0.000000
IC1,118.500000,-32.950000,Top,-90.000000
J2,118.500000,-41.200000,Top,0.000000
JBL1,135.500000,-39.800000,Top,0.000000
JFFC1,120.000000,-25.300000,Top,180.000000
R1,98.500000,-31.200000,Top,0.000000
R2,98.500000,-33.500000,Top,0.000000
RN1,100.500000,-28.200000,Top,0.000000
RN2,104.500000,-28.200000,Top,0.000000
RN3,109.500000,-33.300000,Top,0.000000
RN4,128.500000,-33.300000,Top,0.000000
RN5,135.500000,-28.200000,Top,0.000000
RN6,139.500000,-28.200000,Top,0.000000
U1,103.800000,-34.700000,Top,-90.000000
