"Comment","Designator","Footprint","JLCPCB Part #"
"1uF","C1,C4","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C1592"
"100nF","C2,C5","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C1591"
"10nF","C3,C6","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C1589"
"4.7uF","C7,C8","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C1705"
"DLP2ADN900HL4L","FL1,FL2","Murata_DLP2ADN121HL4L","C91592"
"SN75LVDS83B","IC1","TSSOP56","C35164"
"I-PEX 20374-R30E-31","J2","I-PEX_20374-R30E-31","C5311655"
"Hirose FH12-12S-0.5SH(55)","JBL1","Hirose_FH12-12S-0.5SH_1x12-1MP_P0.50mm_Horizontal","C88360"
"Hirose FH41-40S-0.5SH(05)","JFFC1","FPC-SMD_FH41-40S-0.5SH","C596805"
"4.7k","R1,R2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C844791"
"47 ohm array","RN1,RN2,RN3,RN4,RN5,RN6","R_Array_Convex_4x0603","C425204"
"AP2114H-2.5","U1","SOT-223-3_TabPin2","C460313"
