ffc_pin,pi_physical_pin,signal,pi_gpio_or_role
1,1,+3V3,3.3V power
2,2,+5V,5V power
3,3,VSYNC,GPIO2 / BCM2_SDA
4,4,+5V,5V power
5,5,HSYNC,GPIO3 / BCM3_SCL
6,6,GND,ground
7,7,B0,GPIO4 / BCM4_GPCLK0
8,8,G4,GPIO14 / BCM14_TXD
9,9,GND,ground
10,10,G5,GPIO15 / BCM15_RXD
11,11,R1,GPIO17
12,12,R2,GPIO18 / BCM18_PCM_C
13,13,EN,GPIO27
14,14,GND,ground
15,15,GP22,GPIO22 spare/test
16,16,SDA,GPIO23 software I2C SDA
17,17,PANEL_ID0,panel identification strap 0
18,18,SCL,GPIO24 software I2C SCL
19,19,G0,GPIO10 / BCM10_MOSI
20,20,GND,ground
21,21,B5,GPIO9 / BCM9_MISO
22,22,GP25,GPIO25 spare/test
23,23,G1,GPIO11 / BCM11_SCLK
24,24,B4,GPIO8 / BCM8_CE0
25,25,GND,ground
26,26,B3,GPIO7 / BCM7_CE1
27,27,CLKIN,GPIO0 / ID_SD
28,28,ENABLE,GPIO1 / ID_SC / DPI DE
29,29,B1,GPIO5
30,30,GND,ground
31,31,B2,GPIO6
32,32,G2,GPIO12 / BCM12_PWM0
33,33,G3,GPIO13 / BCM13_PWM1
34,34,PANEL_ID1,panel identification strap 1
35,35,R3,GPIO19 / BCM19_PCM_FS
36,36,R0,GPIO16
37,37,PWM,GPIO26
38,38,R4,GPIO20 / BCM20_MOSI_PCM_DI
39,39,LCD_INS,panel insertion detect
40,40,R5,GPIO21 / BCM21_SCLK_PCM_DO
